Spider "new_vehicles" Started at "2024-04-04 124830"

Error Logs:

No previous output files found
End of Error Logs:


Informative Logs:
Total States found in the website : 51

Total No of Dealers: "58" exists in the state : "Alabama|AL"
State: "Illinois|IL", Dealer Name: "Jerry Haggerty Chevrolet, Inc" has 48 vehicles
State: "Illinois|IL", Dealer Name: "T & S Trailer Pool Inc" has no vehicles
State: "Illinois|IL", Dealer Name: "Impel Union Chicago" has 12 vehicles
State: "Illinois|IL", Dealer Name: "EJ Equipment - Troy" has no vehicles
State: "Illinois|IL", Dealer Name: "Bauman Trailer Sales & Towing Inc." has 248 vehicles
State: "Illinois|IL", Dealer Name: "Lynch Chicago" has 60 vehicles
State: "Illinois|IL", Dealer Name: "Uftring Chrysler Dodge Jeep" has 22 vehicles
State: "Illinois|IL", Dealer Name: "Butera Motors" has no vehicles
State: "Illinois|IL", Dealer Name: "Landmark Ford Trucks East" has 126 vehicles
State: "Illinois|IL", Dealer Name: "EJ Equipment - Manteno" has no vehicles
State: "Illinois|IL", Dealer Name: "Crystal Lake Chrysler Jeep Dodge Ram" has 35 vehicles
State: "Illinois|IL", Dealer Name: "Victor Ford" has 43 vehicles
State: "Illinois|IL", Dealer Name: "Uftring Chevrolet" has 44 vehicles
State: "Illinois|IL", Dealer Name: "Roesch Ford" has 53 vehicles
State: "Illinois|IL", Dealer Name: "Exodus Truck Mart" has 7 vehicles
State: "Illinois|IL", Dealer Name: "International Used Truck Center of Chicago" has no vehicles
State: "Illinois|IL", Dealer Name: "Highland Park Ford" has 44 vehicles
State: "Illinois|IL", Dealer Name: "Ryder Used Trucks in Chicago" has no vehicles
State: "Illinois|IL", Dealer Name: "SLD Enterprises LLC" has no vehicles
State: "Illinois|IL", Dealer Name: "GMotorcars Inc" has no vehicles
State: "Illinois|IL", Dealer Name: "Rendel's, Inc." has 6 vehicles
State: "Illinois|IL", Dealer Name: "Naperville Auto Haus" has no vehicles
State: "Illinois|IL", Dealer Name: "Signature Auto Group" has 1 vehicles
State: "Illinois|IL", Dealer Name: "Lake County Truck Sales & Svc" has no vehicles
State: "Illinois|IL", Dealer Name: "International Car Center" has no vehicles
State: "Illinois|IL", Dealer Name: "PTR Truck Center" has 2 vehicles
State: "Illinois|IL", Dealer Name: "A Warehouse On Wheels" has no vehicles
State: "Illinois|IL", Dealer Name: "Custom Rebuilt" has no vehicles
State: "Illinois|IL", Dealer Name: "Biggers Chevrolet" has 35 vehicles
State: "Illinois|IL", Dealer Name: "Uftring Ford" has 32 vehicles
State: "Illinois|IL", Dealer Name: "Ford Square Of Mt. Vernon" has 18 vehicles
State: "Illinois|IL", Dealer Name: "Napleton's River Oaks Chrysler Dodge Jeep Ram" has 16 vehicles


 State Illinois|IL, has Total Vehicles : 6324


Total No of Dealers: "102" exists in the state : "Indiana|IN"

State: "Indiana|IN", Dealer Name: "Uebelhor & Sons Inc" has 105 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - FORT WAYNE, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Equipment Remarketing LLC" has 1 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - REMINGTON, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Don's Truck & Trailer" has 5 vehicles
State: "Indiana|IN", Dealer Name: "Detro Trailers LLC" has 431 vehicles
State: "Indiana|IN", Dealer Name: "Indy Trucks" has no vehicles
State: "Indiana|IN", Dealer Name: "Castle Ford Michigan City" has 143 vehicles
State: "Indiana|IN", Dealer Name: "McMahon Truck Centers of Louisville" has 8 vehicles
State: "Indiana|IN", Dealer Name: "Kenworth of Indianapolis" has 21 vehicles
State: "Indiana|IN", Dealer Name: "Schneider Trucks - Gary" has no vehicles
State: "Indiana|IN", Dealer Name: "Ryder Used Trucks in Louisville" has no vehicles
State: "Indiana|IN", Dealer Name: "Bridge MFG & Equipment Co, Inc" has 113 vehicles
State: "Indiana|IN", Dealer Name: "International Used Truck Center of Indianapolis" has no vehicles
State: "Indiana|IN", Dealer Name: "Premier Truck Rental" has no vehicles
State: "Indiana|IN", Dealer Name: "M&K Truck Centers - Indy" has 41 vehicles
State: "Indiana|IN", Dealer Name: "Connect Truck and Van Center" has no vehicles
State: "Indiana|IN", Dealer Name: "Ryder Used Trucks in Indianapolis" has no vehicles
State: "Indiana|IN", Dealer Name: "Hare Truck Center" has 170 vehicles
State: "Indiana|IN", Dealer Name: "Tom Naquin Chevrolet Nissan" has no vehicles
State: "Indiana|IN", Dealer Name: "Bosak Ford" has 23 vehicles
State: "Indiana|IN", Dealer Name: "Bosak Motors of Merrillville, LLC" has 139 vehicles
State: "Indiana|IN", Dealer Name: "Fletcher Chrysler Dodge Jeep Ram SRT" has 89 vehicles
State: "Indiana|IN", Dealer Name: "Gates Chevy World" has 57 vehicles
State: "Indiana|IN", Dealer Name: "Royal RV & Auto Center" has 1 vehicles
State: "Indiana|IN", Dealer Name: "Bachman CDJR" has 126 vehicles
State: "Indiana|IN", Dealer Name: "Coyle Chevrolet Super Store" has 141 vehicles
State: "Indiana|IN", Dealer Name: "Stoops Freightliner of Ft. Wayne" has 2 vehicles
State: "Indiana|IN", Dealer Name: "John Jones Chevrolet Buick" has 93 vehicles
State: "Indiana|IN", Dealer Name: "Rush Truck Centers - Indianapolis" has 25 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - WABASH, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Haag Ford" has 33 vehicles
State: "Indiana|IN", Dealer Name: "STS Truck & Equipment Sales, LLC" has no vehicles
State: "Indiana|IN", Dealer Name: "Moe's Auto Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - INDIANAPOLIS, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Moser Motor Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - ELKHART, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Indy Wholesale Direct LLC" has no vehicles
State: "Indiana|IN", Dealer Name: "Pampered Coach Auto and Truck Center" has 20 vehicles
State: "Indiana|IN", Dealer Name: "Kenworth of Fremont" has 13 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - BLOOMINGTON, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Gurley Leep Motor Werks" has 97 vehicles
State: "Indiana|IN", Dealer Name: "Diehl's Truck Sales" has 1 vehicles
State: "Indiana|IN", Dealer Name: "True Blue Auto" has no vehicles
State: "Indiana|IN", Dealer Name: "Rafa Truck Sales" has 1 vehicles
State: "Indiana|IN", Dealer Name: "Axius CDJR" has 27 vehicles
State: "Indiana|IN", Dealer Name: "Marshal's Motors" has no vehicles
State: "Indiana|IN", Dealer Name: "Belle Way Trucking Inc" has 2 vehicles
State: "Indiana|IN", Dealer Name: "Boeke & Sons Truck Sales & Service" has no vehicles
State: "Indiana|IN", Dealer Name: "Palmer Trucks" has 12 vehicles
State: "Indiana|IN", Dealer Name: "United Leasing and Finance" has no vehicles
State: "Indiana|IN", Dealer Name: "Garber Chevy Highland" has 78 vehicles
State: "Indiana|IN", Dealer Name: "McMahon Truck Centers of Indianapolis" has 37 vehicles
State: "Indiana|IN", Dealer Name: "McCormick Motors" has 70 vehicles
State: "Indiana|IN", Dealer Name: "Premium and Exotic Wholesale" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - INDIANAPOLIS, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - INDIANAPOLIS, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Ruble Truck Sales" has 126 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - EAST CHICAGO, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Jasper Truck Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "J Ruble & Sons Truck Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "Trucks N More" has no vehicles
State: "Indiana|IN", Dealer Name: "CHAMPION CHEVROLET" has no vehicles
State: "Indiana|IN", Dealer Name: "Royer Trailer Sales" has 177 vehicles
State: "Indiana|IN", Dealer Name: "Harold Zeigler Ford Elkhart" has 37 vehicles
State: "Indiana|IN", Dealer Name: "York Chrysler Dodge Jeep" has 41 vehicles
State: "Indiana|IN", Dealer Name: "Stoops Freightliner a Division of Truck Country" has 116 vehicles
State: "Indiana|IN", Dealer Name: "ABC Truck & Equipment" has no vehicles
State: "Indiana|IN", Dealer Name: "Tom O'Brien Chrysler Jeep Dodge Ram North" has 84 vehicles
State: "Indiana|IN", Dealer Name: "Schepel GMC" has 114 vehicles
State: "Indiana|IN", Dealer Name: "BILL ESTES CHRYSLER DODGE JEEP RAM" has 24 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - FORT WAYNE, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "O'Daniel Chrysler Dodge Jeep Ram" has 67 vehicles
State: "Indiana|IN", Dealer Name: "Techworks" has 9 vehicles
State: "Indiana|IN", Dealer Name: "Lakeshore Equipment Sales & Leasing LLC" has no vehicles
State: "Indiana|IN", Dealer Name: "Lochmandy Motors" has 86 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - INDIANAPOLIS, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Truck Crane Solutions LLC" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - WARSAW, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - FISHERS, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Holley Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "Bolt Custom Trucks" has 3 vehicles
State: "Indiana|IN", Dealer Name: "Kentucky Truck Sales" has 3 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - RICHMOND, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - KOKOMO, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Sternberg International" has 1 vehicles
State: "Indiana|IN", Dealer Name: "Altec NUECO - Fort Wayne" has no vehicles
State: "Indiana|IN", Dealer Name: "Imel Motor Sales" has 4 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - VALPARAISO, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - LA PORTE, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Palmer Trucks of Evansville" has 4 vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - GOSHEN, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - CLARKSVILLE, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - SOUTH BEND, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Road Ready Sales, Inc." has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - FORT WAYNE, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Gedek Trailer Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - EVANSVILLE, IN" has no vehicles
State: "Indiana|IN", Dealer Name: "Palmer Trucks of Terre Haute" has 4 vehicles
State: "Indiana|IN", Dealer Name: "I-65 Truck & Accessories Sales LLC" has no vehicles
State: "Indiana|IN", Dealer Name: "Integrity Sales" has no vehicles
State: "Indiana|IN", Dealer Name: "PENSKE USED TRUCKS - SOUTH BEND, IN" has no vehicles


 State Indiana|IN, has Total Vehicles : 3025


Total No of Dealers: "40" exists in the state : "Iowa|IA"

State: "Iowa|IA", Dealer Name: "Tschiggfrie" has no vehicles
State: "Iowa|IA", Dealer Name: "Maverick Incorporated" has 8 vehicles
State: "Iowa|IA", Dealer Name: "Iowa Trailer Manufacturing Co., LLC" has 4 vehicles
State: "Iowa|IA", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Des Moines" has 26 vehicles
State: "Iowa|IA", Dealer Name: "PENSKE USED TRUCKS - WATERLOO, IA" has no vehicles
State: "Iowa|IA", Dealer Name: "Midwest Auto of Siouxland, Inc." has no vehicles
State: "Iowa|IA", Dealer Name: "PENSKE USED TRUCKS - DUBUQUE, IA" has no vehicles
State: "Iowa|IA", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Council Bluffs" has 33 vehicles
State: "Iowa|IA", Dealer Name: "Edwards Auto Group" has no vehicles
State: "Iowa|IA", Dealer Name: "Truck Country - Dubuque" has 2 vehicles
State: "Iowa|IA", Dealer Name: "Thys Chevrolet - Blairstown" has 4 vehicles
State: "Iowa|IA", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Sioux City" has 29 vehicles
State: "Iowa|IA", Dealer Name: "MHC Kenworth - Des Moines" has 5 vehicles
State: "Iowa|IA", Dealer Name: "PENSKE USED TRUCKS - DAVENPORT, IA" has no vehicles
State: "Iowa|IA", Dealer Name: "Jim Hawk Truck Trailers/Hawk Equipment - Davenport" has 29 vehicles
State: "Iowa|IA", Dealer Name: "Ryder Used Trucks in Des Moines" has no vehicles
State: "Iowa|IA", Dealer Name: "Chrysler Of Forest City Inc" has 856 vehicles
State: "Iowa|IA", Dealer Name: "Cassill Motors" has no vehicles
State: "Iowa|IA", Dealer Name: "FleetSide Ford LLC" has 34 vehicles
State: "Iowa|IA", Dealer Name: "Knoepfler Chevrolet" has 79 vehicles
State: "Iowa|IA", Dealer Name: "PENSKE USED TRUCKS - NORTH LIBERTY, IA" has no vehicles
State: "Iowa|IA", Dealer Name: "Steffes Group, Inc." has no vehicles
State: "Iowa|IA", Dealer Name: "Lynch Ford Chevrolet Inc." has 38 vehicles
State: "Iowa|IA", Dealer Name: "PENSKE USED TRUCKS - DES MOINES, IA" has no vehicles
State: "Iowa|IA", Dealer Name: "Zip's Truck Equipment" has 31 vehicles
State: "Iowa|IA", Dealer Name: "Karl Ford" has 86 vehicles
State: "Iowa|IA", Dealer Name: "Kordell Truck & Trailer Sales" has no vehicles
State: "Iowa|IA", Dealer Name: "Thomas Bus Sales, Inc." has 183 vehicles
State: "Iowa|IA", Dealer Name: "Stew Hansen's Dodge City Inc" has 136 vehicles
State: "Iowa|IA", Dealer Name: "Jensen Ford Lincoln" has 16 vehicles
State: "Iowa|IA", Dealer Name: "Woodhouse Chevrolet" has 98 vehicles
State: "Iowa|IA", Dealer Name: "Steffen Truck" has no vehicles
State: "Iowa|IA", Dealer Name: "Bob Brown Chevrolet" has 236 vehicles
State: "Iowa|IA", Dealer Name: "Pat McGrath Chevyland" has 209 vehicles
State: "Iowa|IA", Dealer Name: "Farm Country Truck & Trailer Sales" has 33 vehicles
State: "Iowa|IA", Dealer Name: "Pritchard Auto Company" has 176 vehicles
State: "Iowa|IA", Dealer Name: "MHC Kenworth - Cedar Rapids (Branch #114)" has 1 vehicles
State: "Iowa|IA", Dealer Name: "Decorah Chrysler Dodge Jeep RAM" has no vehicles
State: "Iowa|IA", Dealer Name: "Don's Truck Equipment" has 1 vehicles
State: "Iowa|IA", Dealer Name: "GATR Truck Center - Waukee" has 10 vehicles


 State Iowa|IA, has Total Vehicles : 2363


Total No of Dealers: "25" exists in the state : "Kansas|KS"

State: "Kansas|KS", Dealer Name: "Rush Truck Centers - Olathe" has 14 vehicles
State: "Kansas|KS", Dealer Name: "EDDYS CHRYSLER DODGE JEEP RAM" has 35 vehicles
State: "Kansas|KS", Dealer Name: "PENSKE USED TRUCKS - WICHITA, KS" has no vehicles
State: "Kansas|KS", Dealer Name: "PENSKE USED TRUCKS - SALINA, KS" has no vehicles
State: "Kansas|KS", Dealer Name: "Southwest Truck Parts" has no vehicles
State: "Kansas|KS", Dealer Name: "Rush Truck Centers - Wichita" has 21 vehicles
State: "Kansas|KS", Dealer Name: "Meyer Truck Center" has no vehicles
State: "Kansas|KS", Dealer Name: "Dodge City Kenworth" has no vehicles
State: "Kansas|KS", Dealer Name: "Rush Truck Centers - Salina" has 1 vehicles
State: "Kansas|KS", Dealer Name: "Stephenson's Specialty Trucks" has 3 vehicles
State: "Kansas|KS", Dealer Name: "Liberal Kenworth" has no vehicles
State: "Kansas|KS", Dealer Name: "PENSKE USED TRUCKS - LENEXA, KS" has no vehicles
State: "Kansas|KS", Dealer Name: "Smith and Sons Auto Sales" has no vehicles
State: "Kansas|KS", Dealer Name: "CraneWorks - Kansas City" has 46 vehicles
State: "Kansas|KS", Dealer Name: "Transport Truck Sales Inc." has 12 vehicles
State: "Kansas|KS", Dealer Name: "Penske Truck Leasing - SHAWNEE, KS" has no vehicles
State: "Kansas|KS", Dealer Name: "The Wrays" has 5 vehicles
State: "Kansas|KS", Dealer Name: "Master Tech Truck and Equipment" has 25 vehicles
State: "Kansas|KS", Dealer Name: "Olathe Ford Commercial" has no vehicles
State: "Kansas|KS", Dealer Name: "Wichita Kenworth Inc" has 60 vehicles
State: "Kansas|KS", Dealer Name: "McPherson Car Connection" has no vehicles
State: "Kansas|KS", Dealer Name: "Jay Hatfield Chrysler Dodge Jeep Ram" has 22 vehicles
State: "Kansas|KS", Dealer Name: "MHC Kenworth - Olathe" has 9 vehicles
State: "Kansas|KS", Dealer Name: "Midwest Companies" has no vehicles
State: "Kansas|KS", Dealer Name: "Mel Hambelton Ford" has 195 vehicles


 State Kansas|KS, has Total Vehicles : 448


Total No of Dealers: "35" exists in the state : "Kentucky|KY"

State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - LOUISVILLE, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - LEXINGTON, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "Merrell's Truck Sales" has 1 vehicles
State: "Kentucky|KY", Dealer Name: "SelecTrucks of Louisville" has no vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - OWENSBORO, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "Mercedes-Benz of Fort Mitchell" has 434 vehicles
State: "Kentucky|KY", Dealer Name: "Kenworth of Bowling Green" has 3 vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - SOMERSET, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "Site-Safe Truck Sales" has 1 vehicles
State: "Kentucky|KY", Dealer Name: "Kenworth of Louisville" has 4 vehicles
State: "Kentucky|KY", Dealer Name: "All-State Ford Truck Sales" has 129 vehicles
State: "Kentucky|KY", Dealer Name: "Craigmyle Truck & Trailer Sales" has no vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - ERLANGER, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - ELIZABETHTOWN, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "Jeff Wyler Ft. Thomas" has 89 vehicles
State: "Kentucky|KY", Dealer Name: "Larry Stiger's Equipment, Trailers, & Trucks" has 4 vehicles
State: "Kentucky|KY", Dealer Name: "Louisville Chrysler Dodge Jeep Ram" has 24 vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - LOUISVILLE, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "James Motor Company" has 44 vehicles
State: "Kentucky|KY", Dealer Name: "Fyda Freightliner Western Star of Northern Kentucky" has 28 vehicles
State: "Kentucky|KY", Dealer Name: "Jeff Wyler Florence Buick GMC" has 95 vehicles
State: "Kentucky|KY", Dealer Name: "Redmond CDJR of Frankfurt" has 45 vehicles
State: "Kentucky|KY", Dealer Name: "Tim Short Chrysler Dodge Jeep Ram of Middlesboro" has 23 vehicles
State: "Kentucky|KY", Dealer Name: "O'Brien Ford of Shelbyville" has 28 vehicles
State: "Kentucky|KY", Dealer Name: "Sternberg Automotive Group" has no vehicles
State: "Kentucky|KY", Dealer Name: "Dan Cummins CDJR- Paris" has 215 vehicles
State: "Kentucky|KY", Dealer Name: "Bob Hook Trucks" has 57 vehicles
State: "Kentucky|KY", Dealer Name: "Perkins Motorplex" has no vehicles
State: "Kentucky|KY", Dealer Name: "Dutch's Commercial Trucks" has 189 vehicles
State: "Kentucky|KY", Dealer Name: "Bachman Commercial" has 479 vehicles
State: "Kentucky|KY", Dealer Name: "Trailer Mart, Inc" has 197 vehicles
State: "Kentucky|KY", Dealer Name: "Champion Preferred Automotive" has no vehicles
State: "Kentucky|KY", Dealer Name: "PENSKE USED TRUCKS - BOWLING GREEN, KY" has no vehicles
State: "Kentucky|KY", Dealer Name: "Pogue Chrysler Dodge Jeep Ram FIAT" has 28 vehicles
State: "Kentucky|KY", Dealer Name: "Tom Gill Chevrolet Inc" has 55 vehicles


 State Kentucky|KY, has Total Vehicles : 2172


Total No of Dealers: "25" exists in the state : "Louisiana|LA"

State: "Louisiana|LA", Dealer Name: "Ryder Used Trucks in New Orleans" has no vehicles
State: "Louisiana|LA", Dealer Name: "PENSKE USED TRUCKS - SHREVEPORT, LA" has no vehicles
State: "Louisiana|LA", Dealer Name: "Scott Equipment Company-Corporate" has 7 vehicles
State: "Louisiana|LA", Dealer Name: "⁩ A.J. Dohmann Chevrolet" has 52 vehicles
State: "Louisiana|LA", Dealer Name: "hall's tractor service" has no vehicles
State: "Louisiana|LA", Dealer Name: "Smith Acquisitions" has no vehicles
State: "Louisiana|LA", Dealer Name: "PENSKE USED TRUCKS - HARAHAN, LA" has no vehicles
State: "Louisiana|LA", Dealer Name: "PENSKE USED TRUCKS - BATON ROUGE, LA" has no vehicles
State: "Louisiana|LA", Dealer Name: "PENSKE USED TRUCKS - PINEVILLE, LA" has no vehicles
